epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5518,1.23466,0.55733,0.00705,0.94082,0.91625,0.96891,0.64434,1.23301,0.4319,0.01014,0.000665158,0.000665158,0.000665158
2,102.167,1.26097,0.55767,0.00716,0.94302,0.9105,0.96573,0.65313,1.1918,0.44255,0.00963,0.0012659,0.0012659,0.0012659
3,146.278,1.29815,0.58742,0.00758,0.89816,0.91334,0.94978,0.62342,1.25597,0.5172,0.01069,0.00180064,0.00180064,0.00180064
4,189.862,1.28865,0.58409,0.00761,0.945,0.91779,0.96194,0.62221,1.30009,0.46256,0.01082,0.001703,0.001703,0.001703
5,238.789,1.27331,0.56327,0.00732,0.94468,0.91224,0.96672,0.64387,1.21612,0.47213,0.01,0.001604,0.001604,0.001604
6,293.847,1.25738,0.5482,0.00709,0.95745,0.90673,0.96933,0.65073,1.20045,0.42883,0.00965,0.001505,0.001505,0.001505
7,345.016,1.23662,0.51758,0.00701,0.94918,0.91799,0.96635,0.65218,1.19349,0.44004,0.00974,0.001406,0.001406,0.001406
8,391.489,1.21811,0.50533,0.00683,0.95628,0.90196,0.96885,0.65262,1.17504,0.43169,0.00927,0.001307,0.001307,0.001307
9,439.706,1.20686,0.48929,0.00683,0.94778,0.91853,0.96991,0.67013,1.15223,0.41419,0.0092,0.001208,0.001208,0.001208
10,486.225,1.18545,0.48074,0.00658,0.96996,0.92306,0.97292,0.67041,1.15034,0.40154,0.00899,0.001109,0.001109,0.001109
11,555.516,1.15612,0.4094,0.00782,0.96302,0.92971,0.97504,0.67308,1.14452,0.3973,0.00902,0.00101,0.00101,0.00101
12,609.82,1.14099,0.40529,0.00767,0.9539,0.91753,0.97038,0.67161,1.15153,0.42631,0.00888,0.000911,0.000911,0.000911
13,656.746,1.12544,0.38398,0.00742,0.96729,0.91799,0.97451,0.66697,1.17551,0.40816,0.00908,0.000812,0.000812,0.000812
14,699.054,1.10719,0.36923,0.00726,0.96048,0.92971,0.97348,0.68276,1.11729,0.38057,0.00868,0.000713,0.000713,0.000713
15,745.974,1.09076,0.35653,0.0072,0.97277,0.92079,0.97621,0.68088,1.13382,0.38414,0.00866,0.000614,0.000614,0.000614
16,795.587,1.07586,0.34858,0.00702,0.96557,0.93313,0.97786,0.69378,1.09828,0.37366,0.00829,0.000515,0.000515,0.000515
17,843.618,1.06458,0.3366,0.00685,0.96523,0.9497,0.97934,0.68867,1.11468,0.35511,0.00849,0.000416,0.000416,0.000416
18,891.101,1.05507,0.32893,0.00681,0.97796,0.93586,0.9796,0.6981,1.08721,0.34868,0.00816,0.000317,0.000317,0.000317
19,939.008,1.03867,0.32584,0.00658,0.97344,0.94236,0.97972,0.69832,1.08556,0.34764,0.00812,0.000218,0.000218,0.000218
20,987.389,1.0231,0.32135,0.00647,0.97057,0.94254,0.97984,0.70072,1.0746,0.34879,0.00803,0.000119,0.000119,0.000119
