epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6589,1.2471,3.97359,0.00724,0.84746,0.83411,0.9039,0.55859,1.37807,1.21752,0.01192,0.000665158,0.000665158,0.000665158
2,107.752,1.3237,1.05414,0.00767,0.90945,0.86125,0.93867,0.62628,1.22761,0.58509,0.01034,0.000892323,0.000892323,0.000892323
3,153.531,1.23793,0.68286,0.00707,0.93891,0.90019,0.96008,0.65079,1.17791,0.47797,0.00924,0.000679487,0.000679487,0.000679487
